trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
133,2026-05-02,lck challengers,bo3,Kiwoom DRX Challengers,Hanwha Life Esports Challengers,0.721,0.5,0.221,0.04,0.54,300.0,30.78,LOSS,-30.78,1508.38,-0.34,0.16,N,17814.0,Hanwha Life Esports Challengers
134,2026-05-02,lck challengers,bo3,DN SOOPers Challengers,HANJIN BRION Challengers,0.613,0.5,0.113,0.03,0.53,500.0,30.17,WIN,26.75,1535.13,0.14,0.64,Y,137899.0,DN SOOPers Challengers
135,2026-05-02,north american challengers,bo3,NRG,Conviction,0.602,0.5,0.102,0.03,0.53,500.0,30.7,WIN,27.22,1562.35,0.25,0.75,Y,52249.0,NRG Esports
136,2026-05-02,north american challengers,bo3,Supernova,Dorado Gaming,0.609,0.5,0.109,0.03,0.53,500.0,31.25,WIN,27.71,1590.06,0.275,0.775,Y,61970.0,Supernova
137,2026-05-02,north american challengers,bo3,Conviction,Blue Otter,0.683,0.5,0.183,0.04,0.54,300.0,31.8,WIN,27.09,1617.15,0.0,0.5,N,32272.0,Conviction
138,2026-05-02,north american challengers,bo3,Maryville University,Winthrop University,0.663,0.5,0.163,0.04,0.54,300.0,32.34,WIN,27.55,1644.7,0.355,0.855,Y,27157.0,Maryville University
139,2026-05-02,north american challengers,bo3,Citadel Gaming,Apex Mission Impossible,0.643,0.5,0.143,0.05,0.55,150.0,32.89,WIN,26.91,1671.61,0.005,0.505,Y,7742.0,Citadel Gaming
140,2026-05-02,tcl,bo3,Misa Esports,PCIFIC Esports,0.905,0.5,0.405,0.04,0.54,300.0,33.43,WIN,28.48,1700.09,0.0,0.5,N,31063.0,Misa Esports
141,2026-05-03,tcl,bo3,Bushido Wildcats,Dark Passage,0.649,0.5,0.149,0.03,0.53,500.0,34.0,WIN,30.15,1730.24,0.265,0.765,Y,58084.0,Bushido Wildcats
142,2026-05-03,ljl,bo3,Arneb,RAYN Clocks,0.619,0.5,0.119,0.05,0.55,114.98,34.6,WIN,28.31,1758.55,0.355,0.855,Y,5749.0,Arneb
143,2026-05-03,lfl,bo3,TLN Pirates,Esprit Shōnen,0.737,0.5,0.237,0.05,0.55,150.0,35.17,WIN,28.78,1787.33,0.37,0.87,Y,14864.0,TLN Pirates
144,2026-05-03,lfl,bo3,Karmine Corp Blue,Ici Japon Corp. Esport,0.701,0.5,0.201,0.04,0.54,300.0,35.75,WIN,30.45,1817.78,0.39,0.89,Y,28187.0,Karmine Corp Blue
145,2026-05-03,lfl,bo3,Galions,Vitality.Bee,0.622,0.5,0.122,0.04,0.54,300.0,36.36,WIN,30.97,1848.75,0.375,0.875,Y,31279.0,Galions
146,2026-05-03,lfl,bo3,Solary,ZYB Esport,0.918,0.5,0.418,0.05,0.55,150.0,36.98,WIN,30.26,1879.01,0.0,0.5,N,13541.0,Solary
147,2026-05-04,tcl,bo3,SU Esports,Team Phoenix,0.768,0.495,0.273,0.04,0.535,300.0,37.58,WIN,32.66,1911.67,0.245,0.74,Y,19510.0,SU Esports
